# ID        RA           DEC
  931       38.9599     -22.0760
  932       39.9396     -24.4481
  933       40.7242     -26.8845
  934       41.2994     -29.3703
  935       41.6486     -31.8895
  936       41.7524     -34.4250
  937       40.5435     -35.9164
  938       40.1655     -38.4060
  939       39.4698     -40.8559
  940       38.4257     -43.2408
  941       37.0006     -45.5326
  942       35.1626     -47.6996
  943       32.8835     -49.7065
  944       30.1447     -51.5148
  945       26.9443     -53.0833
  946       23.3056     -54.3705
  947       19.2849     -55.3369
  948       14.9750     -55.9494
  949       10.5017     -56.1852
  950       6.01152     -56.0351
  951       1.65334     -55.5049
  952       357.559     -54.6146
  953       353.829     -53.3956
  954       350.528     -51.8862
  955       347.686     -50.1276
  956       345.306     -48.1615
  957       343.372     -46.0269
  958       341.146     -42.3687
  959       340.234     -39.9567
  960       339.659     -37.4893
  961       339.392     -34.9909
  962       339.404     -32.4832
  963       339.673     -29.9860
  964       340.178     -27.5176
  965       340.902     -25.0952
  966       341.829     -22.7349
  967       342.945     -20.4521
  968       344.239     -18.2616
  969       345.700     -16.1777
  970       347.317     -14.2145
  971       349.080     -12.3854
  972       350.978     -10.7032
  973       353.001     -9.18045
  974       355.137     -7.82860
  975       357.373     -6.65836
  976       359.695     -5.67928
  977       2.08878     -4.89961
  978       4.53802     -4.32612
  979       7.02599     -3.96384
  980       9.53516     -3.81606
  981       12.0477     -3.88409
  982       14.5455     -4.16732
  983       17.0111     -4.66321
  984       18.8944     -5.19283
  985       21.2609     -6.05467
  986       23.5496     -7.11274
  987       25.7462     -8.35822
  988       27.8375     -9.78110
  989       29.8110     -11.3703
  990       31.6555     -13.1139
  991       33.3601     -14.9992
  992       34.9147     -17.0133
  993       36.3088     -19.1423
  994       37.5319     -21.3722
  995       38.5726     -23.6884
  996       39.4184     -26.0759
  997       40.0550     -28.5191
  998       40.4663     -31.0013
  999       40.6334     -33.5051
 1000       43.8983     -36.6781
 1001       43.5655     -39.2572
 1002       42.9258     -41.8036
 1003       41.9454     -44.2951
 1004       40.5866     -46.7063
 1005       38.8092     -49.0083
 1006       36.5735     -51.1679
 1007       33.8446     -53.1477
 1008       30.6007     -54.9062
 1009       26.8429     -56.3989
 1010       22.6069     -57.5813
 1011       17.9723     -58.4124
 1012       13.0651     -58.8600
 1013       8.04836     -58.9052
 1014       3.10168     -58.5462
 1015       358.394     -57.7980
 1016       354.061     -56.6905
